# music_dance timeline v1
# fps=100.227273
# n=14916
# duration_sec=148.822
# wav=V_ZionT_MR.wav
led,motor
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.124332,0.000000
0.169764,0.000000
0.168010,0.123738
0.163352,0.191744
0.158098,0.228672
0.150113,0.223352
0.141772,0.211419
0.134287,0.195344
0.127868,0.173891
0.122612,0.141179
0.120228,0.105893
0.120000,0.064165
0.120000,0.024288
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120073,0.000000
0.166276,0.073550
0.193970,0.242127
0.192593,0.348873
0.188985,0.407248
0.174550,0.390372
0.152481,0.343656
0.135573,0.291386
0.125531,0.241434
0.120870,0.193697
0.120000,0.148076
0.120000,0.104478
0.120000,0.062813
0.120000,0.022995
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.147552,0.000000
0.192687,0.155245
0.191593,0.283301
0.187958,0.354998
0.176698,0.347792
0.156349,0.310271
0.138981,0.263627
0.127415,0.214906
0.121583,0.168344
0.120001,0.123848
0.120000,0.081324
0.120000,0.040685
0.120000,0.001849
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.121509,0.038036
0.164206,0.218270
0.175989,0.338605
0.170339,0.357249
0.164511,0.361099
0.158296,0.358557
0.149146,0.343590
0.140334,0.323515
0.132698,0.299713
0.125738,0.265175
0.121268,0.223123
0.120000,0.176880
0.120000,0.132005
0.120000,0.089120
0.120000,0.048135
0.120000,0.008969
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.143235,0.000000
0.193774,0.168450
0.192915,0.296768
0.189803,0.372263
0.179643,0.367514
0.161227,0.336974
0.141371,0.285579
0.128789,0.235884
0.122167,0.188392
0.120038,0.143007
0.120000,0.099633
0.120000,0.058183
0.120000,0.018571
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.123747,0.089647
0.131612,0.195764
0.137880,0.280550
0.142522,0.347311
0.145827,0.398937
0.147526,0.425739
0.149066,0.441671
0.151363,0.456865
0.153720,0.467539
0.155351,0.469229
0.156621,0.469042
0.157860,0.470118
0.158867,0.471328
0.159375,0.472831
0.158276,0.471812
0.156438,0.470772
0.226150,0.551118
0.272059,0.620599
0.265463,0.630199
0.255114,0.625052
0.243257,0.615796
0.228449,0.600185
0.209312,0.574068
0.190657,0.543429
0.173346,0.509898
0.153181,0.459311
0.141317,0.419696
0.133514,0.385234
0.128017,0.352722
0.123881,0.318664
0.120861,0.276470
0.120005,0.237550
0.120000,0.202546
0.120000,0.170230
0.120000,0.178208
0.172930,0.328099
0.247505,0.452142
0.244620,0.509789
0.238066,0.526525
0.222545,0.513445
0.196306,0.473948
0.171540,0.425964
0.150048,0.371633
0.135268,0.319246
0.126687,0.271995
0.121931,0.226370
0.120050,0.179301
0.120000,0.134318
0.120000,0.091330
0.120000,0.050248
0.120000,0.010987
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.165433,0.015793
0.193801,0.182396
0.187946,0.246083
0.181098,0.278153
0.173592,0.286216
0.162305,0.274653
0.150996,0.257193
0.140896,0.235875
0.131833,0.207490
0.124799,0.171922
0.121042,0.135917
0.120000,0.095687
0.120000,0.054411
0.120000,0.014966
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.128939,0.000000
0.190071,0.127595
0.189486,0.262248
0.187377,0.350319
0.180955,0.368513
0.160621,0.332675
0.140975,0.280892
0.128644,0.231405
0.122143,0.184112
0.120039,0.138917
0.120000,0.095724
0.120000,0.054448
0.120000,0.015001
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.120000,0.000000
0.147945,0.006036
0.167093,0.170096
0.163353,0.238572
0.159111,0.279389
0.154571,0.299546
0.149446,0.298918
0.144517,0.296463
0.140457,0.293458
0.135635,0.283625
0.129623,0.261751
0.124070,0.229998
0.120461,0.183950
0.120000,0.139787
0.120000,0.096557
0.120000,0.055243
0.120000,0.015761
0.120000,0.000000
0.120000,0.000000
0.135125,0.183005
0.193339,0.339795
0.197307,0.436752
0.197631,0.493513
0.195652,0.505080
0.184756,0.486325
0.170879,0.459313
0.156586,0.426847
0.143855,0.390145
0.132463,0.344934
0.124239,0.292608
0.120512,0.242601
0.120000,0.194812
0.120000,0.149142
0.120000,0.105496
0.120000,0.063786
0.120000,0.032156
0.120000,0.007565
0.120000,0.000000
0.132775,0.171923
0.185568,0.317001
0.186968,0.403271
0.188558,0.465755
0.190055,0.506503
0.190280,0.523719
0.188135,0.519782
0.184763,0.513188
0.178997,0.502327
0.174671,0.490943
0.168980,0.475621
0.160544,0.453176
0.152116,0.428772
0.143021,0.397131
0.135799,0.366020
0.128866,0.331140
0.124825,0.305569
0.122404,0.283891
