frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
1, 0, 0.000, 0.98, 1, 27.6, -43.5, 435.4, -0.026, -0.007, 0.028
2, 0, 0.033, 0.98, 1, 27.5, -43.6, 435.6, -0.031, -0.007, 0.026
3, 0, 0.067, 0.98, 1, 27.6, -43.6, 435.5, -0.031, -0.006, 0.025
4, 0, 0.100, 0.98, 1, 27.7, -43.8, 437.4, -0.036, -0.009, 0.025
5, 0, 0.133, 0.98, 1, 27.5, -43.8, 436.2, -0.034, -0.008, 0.025
6, 0, 0.167, 0.98, 1, 27.4, -43.8, 434.7, -0.025, -0.005, 0.025
7, 0, 0.200, 0.98, 1, 27.5, -43.8, 435.8, -0.023, -0.008, 0.026
8, 0, 0.233, 0.98, 1, 27.4, -43.9, 435.3, -0.019, -0.008, 0.026
9, 0, 0.267, 0.98, 1, 27.1, -44.3, 437.4, -0.024, -0.005, 0.026
10, 0, 0.300, 0.98, 1, 26.9, -44.3, 436.7, -0.022, -0.005, 0.028
11, 0, 0.333, 0.98, 1, 26.8, -44.2, 436.4, -0.023, -0.003, 0.027
12, 0, 0.367, 0.98, 1, 27.0, -44.3, 438.2, -0.023, -0.004, 0.027
13, 0, 0.400, 0.98, 1, 26.8, -44.5, 439.3, -0.022, -0.003, 0.028
14, 0, 0.433, 0.98, 1, 26.8, -44.6, 439.8, -0.024, -0.004, 0.028
15, 0, 0.467, 0.98, 1, 26.5, -44.5, 438.6, -0.020, -0.004, 0.026
16, 0, 0.500, 0.98, 1, 26.4, -44.7, 439.2, -0.017, -0.003, 0.026
17, 0, 0.533, 0.98, 1, 26.4, -44.6, 439.1, -0.016, -0.004, 0.026
18, 0, 0.567, 0.98, 1, 26.3, -44.7, 438.9, -0.014, -0.003, 0.027
19, 0, 0.600, 0.98, 1, 26.3, -44.6, 438.7, -0.014, -0.005, 0.028
20, 0, 0.633, 0.98, 1, 26.1, -44.6, 438.3, -0.013, -0.004, 0.029
21, 0, 0.667, 0.98, 1, 26.0, -44.6, 438.7, -0.014, -0.002, 0.029
22, 0, 0.700, 0.98, 1, 26.0, -44.6, 438.4, -0.015, -0.002, 0.029
23, 0, 0.733, 0.98, 1, 26.0, -44.6, 438.4, -0.017, -0.002, 0.029
24, 0, 0.767, 0.98, 1, 26.1, -44.7, 438.8, -0.017, -0.000, 0.030
25, 0, 0.800, 0.98, 1, 26.2, -44.7, 439.0, -0.017, -0.000, 0.029
26, 0, 0.833, 0.98, 1, 26.2, -44.7, 438.9, -0.017, -0.001, 0.029
27, 0, 0.867, 0.98, 1, 26.1, -45.0, 439.5, -0.021, -0.002, 0.025
28, 0, 0.900, 0.98, 1, 26.0, -45.3, 441.3, -0.028, -0.005, 0.025
29, 0, 0.933, 0.98, 1, 25.3, -45.9, 442.6, -0.026, 0.003, 0.024
30, 0, 0.967, 0.98, 1, 24.5, -46.9, 444.2, -0.029, 0.007, 0.023
31, 0, 1.000, 0.98, 1, 23.9, -47.4, 442.5, -0.003, 0.007, 0.024
32, 0, 1.033, 0.98, 1, 23.1, -48.2, 443.9, -0.002, 0.015, 0.028
33, 0, 1.067, 0.98, 1, 22.4, -49.4, 447.8, 0.012, 0.012, 0.030
34, 0, 1.100, 0.98, 1, 21.8, -49.6, 449.1, 0.029, 0.012, 0.031
35, 0, 1.133, 0.93, 1, 20.8, -49.7, 454.3, 0.032, 0.015, 0.036
36, 0, 1.167, 0.93, 1, 20.5, -50.1, 460.2, 0.018, 0.009, 0.039
37, 0, 1.200, 0.98, 1, 20.3, -50.6, 465.0, 0.014, 0.005, 0.040
38, 0, 1.233, 0.98, 1, 20.6, -51.2, 474.1, 0.009, 0.003, 0.039
39, 0, 1.267, 0.98, 1, 20.6, -51.6, 478.8, -0.007, -0.001, 0.044
40, 0, 1.300, 0.98, 1, 20.6, -51.6, 481.2, -0.003, 0.001, 0.047
41, 0, 1.333, 0.98, 1, 20.4, -52.4, 488.1, -0.004, -0.003, 0.048
42, 0, 1.367, 0.98, 1, 19.6, -52.7, 491.5, -0.016, -0.003, 0.049
43, 0, 1.400, 0.98, 1, 18.7, -53.0, 494.3, -0.016, 0.006, 0.049
44, 0, 1.433, 0.98, 1, 17.0, -53.3, 499.0, -0.032, 0.009, 0.058
45, 0, 1.467, 0.98, 1, 15.8, -53.5, 503.0, -0.045, 0.009, 0.060
46, 0, 1.500, 0.98, 1, 14.7, -53.9, 503.9, -0.051, 0.017, 0.063
47, 0, 1.533, 0.98, 1, 13.4, -54.6, 506.7, -0.051, 0.024, 0.069
48, 0, 1.567, 0.98, 1, 12.2, -54.6, 506.0, -0.058, 0.025, 0.069
49, 0, 1.600, 0.98, 1, 11.6, -54.5, 506.0, -0.070, 0.022, 0.063
50, 0, 1.633, 0.98, 1, 10.6, -53.9, 506.4, -0.068, 0.017, 0.059
51, 0, 1.667, 0.88, 1, 9.7, -52.8, 505.5, -0.053, 0.014, 0.057
52, 0, 1.700, 0.98, 1, 8.4, -51.6, 503.6, -0.051, 0.009, 0.054
53, 0, 1.733, 0.98, 1, 7.6, -51.5, 507.6, -0.058, 0.004, 0.045
54, 0, 1.767, 0.98, 1, 6.8, -51.4, 505.9, -0.067, 0.007, 0.036
55, 0, 1.800, 0.98, 1, 6.0, -51.6, 504.4, -0.078, 0.007, 0.028
56, 0, 1.833, 0.93, 1, 5.2, -52.3, 500.2, -0.080, 0.012, 0.022
57, 0, 1.867, 0.93, 1, 4.4, -53.4, 498.7, -0.096, 0.015, 0.021
58, 0, 1.900, 0.98, 1, 3.6, -53.9, 501.4, -0.122, 0.014, 0.022
59, 0, 1.933, 0.98, 1, 3.2, -53.3, 499.6, -0.121, 0.010, 0.016
60, 0, 1.967, 0.98, 1, 3.4, -54.2, 508.0, -0.130, 0.016, 0.004
61, 0, 2.000, 0.98, 1, 3.5, -54.3, 508.9, -0.125, 0.023, -0.003
62, 0, 2.033, 0.98, 1, 3.7, -54.2, 506.6, -0.109, 0.033, -0.007
63, 0, 2.067, 0.98, 1, 4.6, -54.4, 507.9, -0.109, 0.035, -0.008
64, 0, 2.100, 0.98, 1, 5.3, -53.8, 506.6, -0.083, 0.027, -0.011
65, 0, 2.133, 0.98, 1, 6.0, -53.2, 501.9, -0.075, 0.034, -0.015
66, 0, 2.167, 0.98, 1, 6.6, -53.0, 502.0, -0.053, 0.038, -0.021
67, 0, 2.200, 0.98, 1, 7.5, -51.6, 496.0, -0.029, 0.038, -0.021
68, 0, 2.233, 0.98, 1, 8.4, -50.5, 493.8, -0.009, 0.044, -0.031
69, 0, 2.267, 0.98, 1, 9.0, -48.5, 490.4, 0.038, 0.045, -0.035
70, 0, 2.300, 0.98, 1, 10.2, -45.4, 489.3, 0.075, 0.039, -0.042
71, 0, 2.333, 0.88, 1, 10.5, -43.6, 485.8, 0.099, 0.041, -0.034
72, 0, 2.367, 0.88, 1, 10.6, -42.9, 484.6, 0.089, 0.032, -0.036
73, 0, 2.400, 0.93, 1, 10.7, -42.6, 484.6, 0.079, 0.025, -0.035
74, 0, 2.433, 0.98, 1, 10.8, -42.0, 485.2, 0.108, 0.022, -0.036
75, 0, 2.467, 0.98, 1, 10.2, -41.9, 485.4, 0.107, 0.035, -0.027
76, 0, 2.500, 0.98, 1, 10.0, -41.5, 485.1, 0.095, 0.036, -0.023
77, 0, 2.533, 0.98, 1, 9.9, -41.4, 485.6, 0.080, 0.035, -0.020
